hanzi,trad,simp,pinyin,toneless,tone,zhuyin
諕,諕,諕,háo,hao,2,ㄏㄠ
鿆,鿆,鿆,鿆,鿆,,
菮,菮,菮,gēng,geng,1,ㄍㄥ
鴮,鴮,鴮,wū,wu,1,ㄨ
囬,囬,囬,húi,hui,2,ㄏㄨㄟ
楂,楂,楂,zhā,zha,1,ㄓㄚ
螥,螥,螥,cāng,cang,1,ㄘㄤ
搩,搩,搩,jié,jie,2,ㄐㄧㄝ
軆,軆,軆,tǐ,ti,3,ㄊㄧ
静,靜,静,jìng,jing,4,ㄐㄧㄥ
哼,哼,哼,hēng,heng,1,ㄏㄥ
䭒,䭒,䭒,䭒,䭒,,
嘵,嘵,哓,xiāo,xiao,1,ㄒㄧㄠ
螋,螋,螋,sōu,sou,1,ㄙㄡ
㸥,㸥,㸥,chán,chan,2,ㄔㄢ
䛐,䛐,䛐,cí,ci,2,ㄘ
俞,俞,俞,yú,yu,2,ㄩ
臷,臷,臷,dié,die,2,ㄉㄧㄝ
菬,菬,菬,zhǎo,zhao,3,ㄓㄠ
㐎,㐎,㐎,㐎,㐎,,
瞂,瞂,瞂,fā,fa,1,ㄈㄚ
溔,溔,溔,yǎo,yao,3,ㄧㄠ
囧,囧,囧,jiǒng,jiong,3,ㄐㄩㄥ
酸,酸,酸,suān,suan,1,ㄙㄨㄢ
珑,瓏,珑,lóng,long,2,ㄌㄨㄥ
僾,僾,僾,ài,ai,4,ㄞ
夵,夵,夵,yǎn,yan,3,ㄧㄢ
䪩,䪩,䪩,yín,yin,2,ㄧㄣ
峬,峬,峬,bū,bu,1,ㄅㄨ
诏,詔,诏,zhào,zhao,4,ㄓㄠ
躱,躱,躱,duǒ,duo,3,ㄉㄨㄛ
糓,糓,糓,gǔ,gu,3,ㄍㄨ
脵,脵,脵,gǔ,gu,3,ㄍㄨ
